party,candidate,dia_expected_n,source
R,Romney,110,https://p2012.org/candidates/natendorse.html
R,Gingrich,14,https://p2012.org/candidates/natendorse.html
R,Paul,4,https://p2012.org/candidates/natendorse.html
R,Santorum,6,https://p2012.org/candidates/natendorse.html
R,Perry,17,https://p2012.org/candidates/natendorse.html
R,Bachmann,1,https://p2012.org/candidates/natendorse.html
R,Cain,1,https://p2012.org/candidates/natendorse.html
R,Pawlenty,3,https://p2012.org/candidates/natendorse.html
